 Type Star,LHS 151,2019-10-26T15:29:51Z
A Type Giant,4 Beta Trianguli,2019-05-03T14:39:31Z
A Type Star,Prie Fruia CH-D d12-2,2019-09-07T23:26:56Z
A Type Star,Oochoss PD-I d10-1,2019-05-15T07:57:34Z
A Type Star,Pyroo Eork UG-S d5-4,2019-09-21T00:41:43Z
A Type Star,Praea Freau NH-D d12-0,2019-09-07T10:06:50Z
A Type Star,Greou Prou IN-H d11-3,2019-09-12T06:50:13Z
A Type Star,Antliae Sector FG-Y d145,2019-05-03T08:09:39Z
A Type Star,Eupaild HH-S d5-5,2019-09-29T10:23:45Z
A Type Star,Hypiae Freau PG-Y d2,2019-08-30T06:48:02Z
A Type Star,Boepp YE-R d4-1108,2019-11-03T13:01:06Z
A Type Star,Pyrivou DS-R d5-39,2019-09-14T04:39:57Z
A Type Star,Stuemaea YA-O e6-3642,2019-05-21T04:11:46Z
A Type Star,Iota Centauri,2019-08-31T10:30:57Z
A Type Star,Gyrafaae SJ-R d4-0,2019-09-01T09:01:08Z
A Type Star,Auphailf AY-G d11-1,2019-09-13T22:53:12Z
A Type Star,Thraikoe LL-P d5-21,2019-08-24T04:18:44Z
A Type Star,Prua Phoe UH-V d2-34,2019-06-11T07:21:10Z
A Type Star,Flimbu KY-Q d5-1,2019-10-29T05:53:08Z
A Type Star,Eorld Pri FW-N d6-3294,2019-11-03T13:57:06Z
A Type Star,HIP 16398,2019-09-19T06:53:10Z
A Type Star,Prie Aoc UD-K d8-6,2019-10-10T08:35:55Z
A Type Star,Thaileae IY-F d12-0,2019-06-27T10:39:31Z
A Type Supergiant,Smojue SD-T e3-2,2019-05-07T12:47:19Z
Abandoned Base,HIP 19284,2018-06-29T03:19:45.000Z
Abandoned Base,Pru Aescs NC-M d7-192,2018-03-31T21:49:22.000Z
Abandoned Base,Col 359 Sector RN-S c4-12,2019-02-03T18:42:28.000Z
Abandoned Base,Conn,2018-03-11T09:01:39.000Z
Abandoned Base,Synuefe QA-U d4-27,2018-05-23T09:12:13.000Z
Abandoned Base,HR 5906,2018-08-18T12:50:53.000Z
Abandoned Base,HIP 19792,2018-06-29T04:39:43.000Z
Abandoned Base,Synuefe JB-G b58-6,2018-04-04T00:50:01.000Z
Abandoned Base,Col 285 Sector BG-O d6-93,2017-12-27T23:10:12.000Z
Abandoned Base,Pleiades Sector GW-W c1-15,2018-06-28T21:50:36.000Z
Abandoned Base,Col 359 Sector RY-H d10-58,2018-11-09T22:44:56.000Z
Abandoned Base,Eafots EU-R c4-1,2018-07-07T13:01:52.000Z
Abandoned Base,Pru Aescs TY-J a64-1,2018-04-01T11:45:19.000Z
Abandoned Base,Alnath,2018-03-11T08:23:15.000Z
Abandoned Base,Etain,2018-08-31T08:55:14.000Z
Abandoned Base,Plaa Aec TT-B b41-3,2018-05-06T16:13:26.000Z
Abandoned Base,HR 5991,2018-05-04T05:30:03.000Z
Abandoned Base,HIP 17403,2018-06-29T05:02:39.000Z
Abandoned Base,Pleiades Sector HR-W d1-17,2018-06-29T15:43:13.000Z
Abandoned Base,Pleiades Sector IC-U b3-1,2018-06-29T02:45:29.000Z
Abandoned Base,HIP 59382,2018-03-11T09:32:07.000Z
Abandoned Base,Pleiades Sector JN-S b4-3,2018-06-28T21:42:28.000Z
Abandoned Base,LP 389-95,2018-03-11T09:48:57.000Z
Abandoned Base,HIP 16824,2018-03-04T18:58:20.000Z
Abandoned Base,Hyades Sector DR-V c2-23,2017-12-15T20:54:37.000Z
Abandoned Base,Plaa Aec RY-B b41-1,2018-05-06T16:46:18.000Z
Abandoned Base,Wregoe JI-B d13-130,2019-01-03T22:29:50.000Z
Abandoned Base,Eafots RA-G b11-0,2018-07-19T00:25:53.000Z
Abandoned Base,Koli Discii,2018-05-21T00:07:56.000Z
Abandoned Base,Col 173 Sector LJ-F c12-0,2018-07-21T18:26:15.000Z
Abandoned Base,Aldhibah,2018-08-18T13:42:27.000Z
Abandoned Base,Etain,2018-08-31T08:13:52.000Z
Abandoned Base,Col 285 Sector EP-C b27-3,2018-12-02T22:35:44.000Z
Abandoned Base,Synuefai FV-U b20-0,2018-05-18T21:52:32.000Z
Abandoned Base,Nervir,2018-12-24T03:16:51.000Z
Abandoned Base,HR 1172,2018-06-29T04:22:24.000Z
Abandoned Base,12 Trianguli,2017-11-25T15:57:57.000Z
Abandoned Base,HIP 7158,2018-03-11T10:07:06.000Z
Abandoned Base,Eafots GL-Y e2,2018-07-19T03:50:10.000Z
Abandoned Base,HIP 83237,2018-07-28T22:28:54.000Z
Abandoned Base,Col 285 Sector YF-M c8-8,2018-07-02T19:37:47.000Z
Abandoned Base,Pru Aescs OI-K a64-0,2018-04-01T15:40:52.000Z
Abandoned Base,HIP 12099,2017-11-25T19:12:00.000Z
Abandoned Base,HIP 83003,2019-06-11T20:41:05.000Z
Abandoned Base,Col 285 Sector FL-X b17-3,2018-11-24T06:51:23.000Z
Abandoned Base,HIP 16217,2018-06-29T03:11:02.000Z
Abandoned Base,HIP 15329,2018-03-11T06:55:07.000Z
Abandoned Base,Pru Aescs HW-S b31-2,2018-01-15T18:06:23.000Z
Abandoned Base,Hermitage,2018-03-11T09:17:40.000Z
Abandoned Base,HR 6890,2018-03-25T20:36:20.000Z
AeBe Type Star,HD 193793,2019-06-05T08:22:11Z
Amphora Plant,Cralou QN-S d4-1,2019-06-27T01:57:25Z
Amphora Plant,Cralou QN-S d4-1,2019-06-27T01:58:44Z
Amphora Plants,Plaa Aec TU-G d10-67,2019-06-23T21:28:29.000Z
Amphora Plants,Phoo Broae AR-M d7-6,2019-08-03T10:30:39.000Z
Amphora Plants,Graea Dryoae MT-P d6-13,2019-07-01T18:17:20.000Z
Amphora Plants,Dryaea Broae SG-Y d19,2019-04-04T18:38:58.000Z
Amphora Plants,Meamoea LW-W d1-0,2019-08-28T18:38:16.000Z
Amphora Plants,Phlaudgoo KM-D d12-0,2019-07-16T22:08:05.000Z
Amphora Plants,Plaa Aec TU-G d10-67,2019-06-08T21:05:52.000Z
Amphora Plants,Blo Eurl YN-T d3-45,2019-08-20T02:18:36.000Z
Amphora Plants,Uctaisps DQ-F d11-3,2019-08-06T00:38:30.000Z
Amphora Plants,Plaa Aec TU-G d10-67,2019-06-30T14:53:41.000Z
Ancient Pylon,Synuefe QA-E b45-4,2018-08-31T03:22:32.000Z
Ancient Pylon,NGC 2451A Sector TO-R c4-3,2018-09-07T22:09:16.000Z
Ancient Pylon,Synuefe HP-E b45-4,2018-09-16T13:30:05.000Z
Ancient Pylon,IC 2391 Sector MX-T b3-6,2018-09-08T05:34:47.000Z
Ancient Pylon,Synuefe WL-J d10-113,2018-10-23T19:18:24.000Z
Ancient Pylon,Synuefe HA-P c22-22,2018-10-22T04:00:00.000Z
Ancient Pylon,Synuefe IT-F d12-5,2018-09-28T04:19:04.000Z
Ancient Pylon,Synuefe RA-E b45-5,2018-11-07T10:12:43.000Z
Ancient Pylon,Synuefe FU-E b45-5,2018-09-16T14:33:18.000Z
Ancient Pylon,Synuefe KU-F b44-4,2018-08-28T17:16:14.000Z
Ancient Pylon,Synuefe CS-H d11-121,2018-09-15T16:58:44.000Z
Ancient Pylon,Synuefe OF-E b45-4,2018-08-30T22:24:47.000Z
Ancient Pylon,Synuefe IJ-G b44-5,2018-10-27T17:32:38.000Z
Ancient Pylon,Synuefe FF-P c22-35,2018-10-22T01:54:59.000Z
Ancient Pylon,Synuefe GJ-G b44-9,2018-09-16T08:01:45.000Z
Ancient Pylon,Synuefe BO-G b44-6,2018-09-16T15:06:51.000Z
Ancient Pylon,Synuefe DK-D b46-12,2018-10-11T10:40:34.000Z
Ancient Pylon,HIP 36823,2018-12-14T23:57:23.000Z
Ancient Pylon,IC 2391 Sector FG-X b1-9,2018-10-24T09:37:32.000Z
Ancient Pylon,NGC 2451A Sector LX-U d2-25,2018-08-28T18:43:42.000Z
Ancient Pylon,Synuefe HL-N c23-4,2018-09-18T17:12:54.000Z
